Temperature,Humidity,Pressure,Windspeed,Winddirection,Directinclined,Diffuseinclined,Reflected,Globalinclined,Directhoriz,Diffushoriz,Globalhoriz,TopAtm,ClearSkiGHI,Nebulosity,EPEX
277.83795,76.3632,1021.05455,4.1359,282.93135,117.5,93.25,1.25,212.75,46,76.5,122.5,284.25,53.7068,7.25,41.9675
277.311,77.4214,1021.1416,4.1101,282.0443,102,84,1,188,38,69,107,255,48.0509,7,41
277.0159,77.7993,1021.275525,4.109875,283.2859,81,70.75,0.75,153.25,29.5,59,88.5,214.25,41.8714,7,40.695
276.7208,78.1772,1021.40945,4.10965,284.5275,60,57.5,0.5,118.5,21,49,70,173.5,35.2486,7,40.39
276.4257,78.5551,1021.543375,4.109425,285.7691,39,44.25,0.25,83.75,12.5,39,51.5,132.75,28.2856,7,40.085
276.1306,78.933,1021.6773,4.1092,287.0107,18,31,0,49,4,29,33,92,20.964,7,39.78
275.99355,78.7949,1021.87595,4.079775,289.037075,13.5,23.75,0,37.25,3,22.25,25.25,69,13.8769,7,39.7675
275.8565,78.6568,1022.0746,4.05035,291.06345,9,16.5,0,25.5,2,15.5,17.5,46,7.7165,7,39.755
275.71945,78.5187,1022.27325,4.020925,293.089825,4.5,9.25,0,13.75,1,8.75,9.75,23,1.9688,7,39.7425
275.5824,78.3806,1022.4719,3.9915,295.1162,0,2,0,2,0,2,2,0,0,7,39.73
275.444675,78.30375,1022.63225,3.90525,296.88845,0,1.5,0,1.5,0,1.5,1.5,0,0,6.75,42.3575
275.30695,78.2269,1022.7926,3.819,298.6607,0,1,0,1,0,1,1,0,0,6.5,44.985
275.169225,78.15005,1022.95295,3.73275,300.43295,0,0.5,0,0.5,0,0.5,0.5,0,0,6.25,47.6125
275.0315,78.0732,1023.1133,3.6465,302.2052,0,0,0,0,0,0,0,0,0,6,50.24
274.9066,77.983,1023.1617,3.5132,303.669525,0,0,0,0,0,0,0,0,0,5.25,51.205
274.7817,77.8928,1023.2101,3.3799,305.13385,0,0,0,0,0,0,0,0,0,4.5,52.17
274.6568,77.8026,1023.2585,3.2466,306.598175,0,0,0,0,0,0,0,0,0,3.75,53.135
274.5319,77.7124,1023.3069,3.1133,308.0625,0,0,0,0,0,0,0,0,0,3,54.1
274.434225,77.611775,1023.35885,2.93965,308.77135,0,0,0,0,0,0,0,0,0,2.75,53.8575
274.33655,77.51115,1023.4108,2.766,309.4802,0,0,0,0,0,0,0,0,0,2.5,53.615
274.238875,77.410525,1023.46275,2.59235,310.18905,0,0,0,0,0,0,0,0,0,2.25,53.3725
274.1412,77.3099,1023.5147,2.4187,310.8979,0,0,0,0,0,0,0,0,0,2,53.13
274.057825,77.05655,1023.51845,2.216775,308.07915,0,0,0,0,0,0,0,0,0,3,52.05
273.97445,76.8032,1023.5222,2.01485,305.2604,0,0,0,0,0,0,0,0,0,4,50.97
273.891075,76.54985,1023.52595,1.812925,302.44165,0,0,0,0,0,0,0,0,0,5,49.89
273.8077,76.2965,1023.5297,1.611,299.6229,0,0,0,0,0,0,0,0,0,6,48.81
273.734525,76.056875,1023.4997,1.488875,287.839075,0,0,0,0,0,0,0,0,0,5.25,47.355
273.66135,75.81725,1023.4697,1.36675,276.05525,0,0,0,0,0,0,0,0,0,4.5,45.9
273.588175,75.577625,1023.4397,1.244625,264.271425,0,0,0,0,0,0,0,0,0,3.75,44.445
273.515,75.338,1023.4097,1.1225,252.4876,0,0,0,0,0,0,0,0,0,3,42.99
273.410525,75.30735,1023.220975,1.29755,242.622325,0,0,0,0,0,0,0,0,0,2.5,44.4325
273.30605,75.2767,1023.03225,1.4726,232.75705,0,0,0,0,0,0,0,0,0,2,45.875
273.201575,75.24605,1022.843525,1.64765,222.891775,0,0,0,0,0,0,0,0,0,1.5,47.3175
273.0971,75.2154,1022.6548,1.8227,213.0265,0,0,0,0,0,0,0,0,0,1,48.76
272.951175,75.265825,1022.48125,2.067725,209.798725,0,0,0,0,0,0,0,0,0,1.25,48.6825
272.80525,75.31625,1022.3077,2.31275,206.57095,0,0,0,0,0,0,0,0,0,1.5,48.605
272.659325,75.366675,1022.13415,2.557775,203.343175,0,0,0,0,0,0,0,0,0,1.75,48.5275
272.5134,75.4171,1021.9606,2.8028,200.1154,0,0,0,0,0,0,0,0,0,2,48.45
272.40395,75.222575,1021.769675,2.9996,198.470175,0,0,0,0,0,0,0,0,0,2.75,48.08
272.2945,75.02805,1021.57875,3.1964,196.82495,0,0,0,0,0,0,0,0,0,3.5,47.71
272.18505,74.833525,1021.387825,3.3932,195.179725,0,0,0,0,0,0,0,0,0,4.25,47.34
272.0756,74.639,1021.1969,3.59,193.5345,0,0,0,0,0,0,0,0,0,5,46.97
272.101225,73.897025,1021.00165,3.701325,192.759925,0,0,0,0,0,0,0,0,0,3.5,46.045
272.12685,73.15505,1020.8064,3.81265,191.98535,0,0,0,0,0,0,0,0,0,2,45.12
272.152475,72.413075,1020.61115,3.923975,191.210775,0,0,0,0,0,0,0,0,0,0.5,44.195
272.1781,71.6711,1020.4159,4.0353,190.4362,0,0,0,0,0,0,0,0,0,-1,43.27
272.2511,71.404225,1020.095875,4.094,189.915,0,0,0,0,0,0,0,0,0,1.5,42.8925
272.3241,71.13735,1019.77585,4.1527,189.3938,0,0,0,0,0,0,0,0,0,4,42.515
272.3971,70.870475,1019.455825,4.2114,188.8726,0,0,0,0,0,0,0,0,0,6.5,42.1375
272.4701,70.6036,1019.1358,4.2701,188.3514,0,0,0,0,0,0,0,0,0,9,41.76
272.465875,70.708975,1018.8323,4.3656,188.725325,0,0,0,0,0,0,0,0,0,9,40.705
272.46165,70.81435,1018.5288,4.4611,189.09925,0,0,0,0,0,0,0,0,0,9,39.65
272.457425,70.919725,1018.2253,4.5566,189.473175,0,0,0,0,0,0,0,0,0,9,38.595
